,斯坦纳点名称,区域,子区域,x,y
213,IDM492,GSO,industrial,595038.8,3989547.16
214,IDM496,GSO,industrial,595027.55,3989554.34
215,IDM499,GSO,industrial,595004.41,3989556.86
216,IDM500,GSO,industrial,595180.68,3989499.56
217,IDM501,GSO,industrial,595188.47,3989525.4
218,IDM504,GSO,industrial,595187.47,3989482.5
219,IDM505,GSO,industrial,595150.58,3989543.04
220,IDM506,GSO,industrial,595145.7,3989524.46
221,IDM507,GSO,industrial,595217.15,3989486.99
222,IDM508,GSO,industrial,595224.2,3989505.82
223,IDM509,GSO,industrial,595198.16,3989478.36
224,IDM511,GSO,industrial,595179.26,3989438.45
225,IDM513,GSO,industrial,595153.74,3989448.13
226,IDM514,GSO,industrial,595140.99,3989452.97
227,IDM515,GSO,industrial,595164.95,3989398.85
228,IDM522,GSO,industrial,593496.98,3989093.78
229,IDM524,GSO,industrial,595819.94,3989686.86
230,IDM525,GSO,industrial,595826.49,3989684.63
231,IDM532,GSO,industrial,593503.46,3990642.59
232,IDM534,GSO,industrial,595524.74,3990093.79
233,IDM535,GSO,industrial,595550.34,3990109.05
234,IDM536,GSO,industrial,595539.5,3990012.53
235,IDM537,GSO,industrial,595516.35,3990078.17
236,IDM548,GSO,industrial,595761.84,3990608.6
237,IDM549,GSO,industrial,595788.66,3990610.05
238,IDM552,GSO,industrial,595876.92,3990426.88
239,IDM553,GSO,industrial,595876.04,3990397.69
240,IDM554,GSO,industrial,595877.51,3990446.33
241,IDM555,GSO,industrial,595879.26,3990504.7
242,IDM556,GSO,industrial,595878.97,3990494.98
243,IDM560,GSO,industrial,597458.67,3989770.68
244,IDM561,GSO,industrial,597457.35,3989752.83
245,IDM567,GSO,industrial,597668.72,3990446.54
246,IDM568,GSO,industrial,597696.99,3990438.08
247,IDM569,GSO,industrial,596962.8,3990079.43
248,IDM570,GSO,industrial,596928.56,3990042.12
249,IDM571,GSO,industrial,596956.72,3990073.59
250,IDM572,GSO,industrial,597715.84,3990432.43
251,IDM573,GSO,industrial,597696.99,3990438.08
252,IDM575,GSO,industrial,593595.84,3991535.12
253,IDM576,GSO,industrial,593589.51,3991497.54
254,IDM580,GSO,industrial,595269.89,3991254.73
255,IDM581,GSO,industrial,595299.56,3991255.99
256,IDM583,GSO,industrial,595378.54,3991290.47
257,IDM584,GSO,industrial,595405.12,3991315.79
258,IDM585,GSO,industrial,595412.46,3991321.64
259,IDM586,GSO,industrial,595390.43,3991304.09
260,IDM587,GSO,industrial,595691.55,3991207.84
261,IDM589,GSO,industrial,595679.2,3991172.34
262,IDM599,GSO,industrial,594879.02,3991690.36
263,IDM600,GSO,industrial,594864.15,3991701.74
264,IDM601,GSO,industrial,594823.3,3991725.85
265,IDM616,GSO,industrial,593309.31,3997820.68
266,IDM617,GSO,industrial,593332.64,3997867.39
267,IDM621,GSO,industrial,592461.46,3997497.24
268,IDM623,GSO,industrial,592379.52,3997454.92
269,IDM625,GSO,industrial,595369.3,3989354.59
270,IDM626,GSO,industrial,595405.36,3989340.1
271,IDM628,GSO,industrial,595390.28,3989347.43
272,IDM630,GSO,industrial,595362.15,3989357.33
273,IDM631,GSO,industrial,595372.04,3989313.36
274,IDM632,GSO,industrial,595373.25,3989322.17
275,IDM633,GSO,industrial,595344.61,3989363.46
276,IDM634,GSO,industrial,595324.04,3989376.55
277,IDM635,GSO,industrial,595370.83,3989304.54
278,IDM638,GSO,industrial,595453.29,3989249.82
279,IDM639,GSO,industrial,595481.19,3989241.55
280,IDM643,GSO,industrial,595445.22,3989249.74
281,IDM644,GSO,industrial,595437.24,3989245.49
282,IDM646,GSO,industrial,595416.48,3989224.8
283,IDM648,GSO,industrial,595409.75,3989207.37
284,IDM649,GSO,industrial,595413.11,3989216.08
285,IDM650,GSO,industrial,595427.77,3989172.6
286,IDM651,GSO,industrial,595391.43,3989185.14
287,IDM652,GSO,industrial,595383.2,3989189.05
288,IDM653,GSO,industrial,595358.52,3989200.76
289,IDM655,GSO,industrial,595418.2,3989174.01
290,IDM656,GSO,industrial,595406.45,3989177.21
291,IDM657,GSO,industrial,595454.67,3989167.82
292,IDM658,GSO,industrial,595494.8,3989156.2
293,IDM659,GSO,industrial,595486.6,3989158.78
294,IDM660,GSO,industrial,595462.44,3989165.87
295,IDM662,GSO,industrial,595477.11,3989183.52
296,IDM663,GSO,industrial,595481.72,3989190.67
297,IDM664,GSO,industrial,595494.83,3989219.33
298,IDM669,GSO,industrial,595569.09,3989275.32
299,IDM670,GSO,industrial,595554.22,3989279.93
300,IDM671,GSO,industrial,595544.94,3989283.55
301,IDM672,GSO,industrial,595530.05,3989290.88
302,IDM674,GSO,industrial,595522.61,3989294.55
303,IDM675,GSO,industrial,595507.71,3989301.89
304,IDM678,GSO,industrial,595495.34,3989307.3
305,IDM680,GSO,industrial,595460.07,3989316.74
306,IDM681,GSO,industrial,595489.16,3989310.01
307,IDM682,GSO,industrial,595482.43,3989311.32
308,IDM684,GSO,industrial,595438.33,3989323.43
309,IDM687,GSO,industrial,595452.26,3989318.79
310,IDM688,GSO,industrial,595426.33,3989329.4
311,IDM689,GSO,industrial,595420.44,3989332.78
312,IDM690,GSO,industrial,595264.12,3989329.43
313,IDM691,GSO,industrial,595276.66,3989327.9
314,IDM694,GSO,industrial,595246.89,3989339.93
315,IDM696,GSO,industrial,595230.56,3989349.81
316,IDM697,GSO,industrial,595277.29,3989398.34
317,IDM698,GSO,industrial,595297.27,3989400.0
318,IDM699,GSO,industrial,595268.13,3989375.9
319,IDM700,GSO,industrial,595269.5,3989385.72
320,IDM702,GSO,industrial,595375.15,3989483.72
321,IDM703,GSO,industrial,595369.82,3989480.61
322,IDM704,GSO,industrial,595417.31,3989488.12
323,IDM706,GSO,industrial,595364.49,3989477.51
324,IDM707,GSO,industrial,595431.17,3989485.0
325,IDM708,GSO,industrial,595417.31,3989488.12
326,IDM710,GSO,industrial,595323.8,3989417.23
327,IDM712,GSO,industrial,595337.6,3989439.96
328,IDM714,GSO,industrial,595344.75,3989453.66
329,IDM715,GSO,industrial,595348.02,3989459.47
330,IDM716,GSO,industrial,595297.9,3989346.1
331,IDM718,GSO,industrial,595021.41,3988958.89
332,IDM719,GSO,industrial,595015.29,3988966.77
333,IDM720,GSO,industrial,595002.81,3988970.93
334,IDM722,GSO,industrial,594973.77,3988969.42
335,IDM724,GSO,industrial,594966.14,3988970.81
336,IDM725,GSO,industrial,595017.23,3988987.39
337,IDM726,GSO,industrial,595018.94,3988995.4
338,IDM727,GSO,industrial,595019.32,3989002.61
339,IDM728,GSO,industrial,595023.72,3989031.31
340,IDM729,GSO,industrial,595030.22,3989038.67
341,IDM731,GSO,industrial,595013.19,3989027.17
342,IDM733,GSO,industrial,595016.61,3989019.33
343,IDM735,GSO,industrial,595031.96,3989048.17
344,IDM737,GSO,industrial,595027.46,3989057.98
345,IDM740,GSO,industrial,595007.28,3989078.65
